,0
0,driver
1,systems
2,time
3,home
4,office
5,technologies
6,being
7,industrial
8,technology
9,energy
10,have
11,part
12,software
13,development
14,using
15,automotive
16,operating
17,up
18,first
19,it
20,implementing
21,which
22,experience
23,phase
24,application
25,environment
26,linux
27,so
28,from
29,master’s
30,degree
31,computer
32,engineering
33,working
34,different
35,conditions
36,strong
37,skills
38,issues
39,testing
40,embedded
41,programming
42,modern
43,c++
44,very
45,english
46,mobile
47,&
48,service
49,services.
50,employee
51,space
52,provide
53,information
54,we
55,3
56,work
57,well
58,models.
59,this
60,company
61,can
62,similar
63,developer
64,week
65,engineer
66,simulation
